,x,y,headways_mean,unique_route_id
gen:23001:6057:1:50_zürcher_verkehrsverbund,8.37227149970085,47.3191259211165,2.3076923076923075,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6057:1:51_zürcher_verkehrsverbund,8.372118786102519,47.3190406637376,2.3615384615384616,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6058:1:50_zürcher_verkehrsverbund,8.364393274658019,47.3163854365106,2.3076923076923075,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6058:1:51_zürcher_verkehrsverbund,8.36444717357508,47.316275814169906,2.3615384615384616,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6059:1:50_zürcher_verkehrsverbund,8.36236308211563,47.31407113881829,2.3076923076923075,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6059:1:51_zürcher_verkehrsverbund,8.36234511580994,47.314205127238296,2.3615384615384616,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6061:1:50_zürcher_verkehrsverbund,8.360144243363541,47.3108796778578,2.3076923076923075,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6061:1:51_zürcher_verkehrsverbund,8.36062035046419,47.3115252942895,2.3615384615384616,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6062:1:50_zürcher_verkehrsverbund,8.35775472470745,47.3083093153728,2.3076923076923075,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6062:1:51_zürcher_verkehrsverbund,8.35789845515293,47.30817531200461,2.3615384615384616,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6063:1:50_zürcher_verkehrsverbund,8.359847799319741,47.2944137940483,2.3076923076923075,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6063:1:51_zürcher_verkehrsverbund,8.35995559715385,47.294572202856706,2.3615384615384616,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6064:1:50_zürcher_verkehrsverbund,8.362057654918981,47.286127133254396,2.3076923076923075,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6064:1:51_zürcher_verkehrsverbund,8.36207562122467,47.286462280757796,2.287037037037037,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6065:1:50_zürcher_verkehrsverbund,8.36208460437751,47.2792835662733,2.3076923076923075,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6065:1:51_zürcher_verkehrsverbund,8.36242596418553,47.2791068284188,2.287037037037037,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6066:1:50_zürcher_verkehrsverbund,8.344414742736419,47.275870592986294,2.2222222222222223,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6066:1:51_zürcher_verkehrsverbund,8.34486390037854,47.2759985834575,2.363076923076923,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6067:1:50_zürcher_verkehrsverbund,8.33980638532825,47.2763094161701,1.2833333333333334,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6300:1:50_zürcher_verkehrsverbund,8.359677119415739,47.4293823297451,7.282608695652174,7-303-P-j19-1_zürcher_verkehrsverbund
gen:23001:6300:1:51_zürcher_verkehrsverbund,8.35931779330204,47.4297165685509,7.160869565217391,7-303-P-j19-1_zürcher_verkehrsverbund
gen:23001:6300:1:80_zürcher_verkehrsverbund,8.358895585118441,47.429977881048,15.0,7-303-P-j19-1_zürcher_verkehrsverbund
gen:23001:6300:1:81_zürcher_verkehrsverbund,8.358922534576969,47.430002189121296,14.97272727272727,7-303-P-j19-1_zürcher_verkehrsverbund
gen:23001:6301:1:50_zürcher_verkehrsverbund,8.36471666816035,47.42538345361339,4.785714285714286,7-303-P-j19-1_zürcher_verkehrsverbund
gen:23001:6301:1:51_zürcher_verkehrsverbund,8.36458192086771,47.42559008991489,4.731428571428571,7-303-P-j19-1_zürcher_verkehrsverbund
gen:23001:6303:1:50_zürcher_verkehrsverbund,8.36472565131319,47.426848122835295,4.788571428571428,7-303-P-j19-1_zürcher_verkehrsverbund
gen:23001:6303:1:51_zürcher_verkehrsverbund,8.36451005564497,47.427139836319704,4.728571428571429,7-303-P-j19-1_zürcher_verkehrsverbund
gen:23001:6318:1:50_zürcher_verkehrsverbund,8.34120775717167,47.2738897486055,2.3661538461538463,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6318:1:51_zürcher_verkehrsverbund,8.34174674634222,47.2738287983718,2.2222222222222223,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6462:1:50_zürcher_verkehrsverbund,8.37398728189375,47.42225950011579,7.178260869565217,7-303-P-j19-1_zürcher_verkehrsverbund
gen:23001:6462:1:51_zürcher_verkehrsverbund,8.37411304603355,47.4223567466,7.2,7-303-P-j19-1_zürcher_verkehrsverbund
gen:23001:6471:1:50_zürcher_verkehrsverbund,8.34900513383891,47.276900602761,2.2222222222222223,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6471:1:51_zürcher_verkehrsverbund,8.34996633119305,47.2767421410237,2.3615384615384616,61-245-P-j19-1_zürcher_verkehrsverbund
gen:23001:6586:1:50_zürcher_verkehrsverbund,8.369657402223691,47.42218656513471,4.782857142857143,7-303-P-j19-1_zürcher_verkehrsverbund
gen:23001:6586:1:51_zürcher_verkehrsverbund,8.36999876203171,47.4221136300527,4.734285714285714,7-303-P-j19-1_zürcher_verkehrsverbund
gen:23001:6663:1:50_zürcher_verkehrsverbund,8.36883993531503,47.4188314467774,4.725714285714285,7-303-P-j19-1_zürcher_verkehrsverbund
gen:23001:6663:1:51_zürcher_verkehrsverbund,8.36836382821438,47.418904386406496,4.728571428571429,7-303-P-j19-1_zürcher_verkehrsverbund
gen:23001:6793:1:50_zürcher_verkehrsverbund,8.39307648168395,47.3018036688783,2.3076923076923075,61-215-P-j19-1_zürcher_verkehrsverbund
gen:23001:6793:1:51_zürcher_verkehrsverbund,8.39306749853111,47.3019864226866,2.38,61-215-P-j19-1_zürcher_verkehrsverbund
gen:23001:6810:1:50_zürcher_verkehrsverbund,8.43550391255882,47.3217566526162,3.061224489795918,61-205-P-j19-1_zürcher_verkehrsverbund
gen:23001:6810:1:51_zürcher_verkehrsverbund,8.43518950220933,47.321555698580895,3.061224489795918,61-205-P-j19-1_zürcher_verkehrsverbund
gen:23001:6958:1:50_zürcher_verkehrsverbund,8.3629919028146,47.4208250936081,,7-315-P-j19-1_zürcher_verkehrsverbund
