,u,v,geometry,highway,lanes,length,name,oneway,maxspeed
5509,27493695,27493696,"LINESTRING (8.541531300000001 47.389225, 8.541469299999999 47.3891458, 8.5414358 47.3891025, 8.5412926 47.3889239, 8.540934200000001 47.3884772, 8.5408773 47.3884266, 8.5408113 47.3883876, 8.5407245 47.3883578, 8.540642800000001 47.3883433)",residential,2,121.876,Langmauerstrasse,False,"['30', '50']"
5510,27493696,27493695,"LINESTRING (8.540642800000001 47.3883433, 8.5407245 47.3883578, 8.5408113 47.3883876, 8.5408773 47.3884266, 8.540934200000001 47.3884772, 8.5412926 47.3889239, 8.5414358 47.3891025, 8.541469299999999 47.3891458, 8.541531300000001 47.389225)",residential,2,121.87600000000002,Langmauerstrasse,False,"['30', '50']"
5511,27493696,102398588,"LINESTRING (8.540642800000001 47.3883433, 8.540588899999999 47.3884609, 8.540480799999999 47.388697, 8.540386399999999 47.3889031, 8.540354799999999 47.3889702)",tertiary,,73.003,Weinbergstrasse,False,50
5512,27493696,102400566,"LINESTRING (8.540642800000001 47.3883433, 8.540693900000001 47.3882156, 8.540744800000001 47.3880882)",tertiary,,29.386000000000003,Weinbergstrasse,False,50
5513,27493697,102351486,"LINESTRING (8.542161 47.3898507, 8.5422577 47.3899322, 8.542308999999999 47.3899734, 8.542348 47.3900057)",residential,,22.255,Langmauerstrasse,False,30
5514,27493697,27493695,"LINESTRING (8.542161 47.3898507, 8.542115900000001 47.3897756, 8.542001900000001 47.3896662, 8.5418807 47.3895604, 8.5417883 47.3894694, 8.5416326 47.3893213, 8.541531300000001 47.389225)",residential,2,84.42800000000001,Langmauerstrasse,False,"['30', '50']"
5515,27493698,129973212,"LINESTRING (8.544015399999999 47.3877839, 8.543939200000001 47.3877403, 8.5438668 47.3876989, 8.5432256 47.3873581)",residential,1,76.014,Kinkelstrasse,True,30
5516,27493698,365910259,"LINESTRING (8.544015399999999 47.3877839, 8.5440896 47.3878326, 8.5441883 47.38792, 8.5441965 47.3879598)",residential,1,24.482,Kinkelstrasse,True,30
5517,27493698,102379579,"LINESTRING (8.544015399999999 47.3877839, 8.5440834 47.3877437, 8.5442681 47.3876341, 8.544311199999999 47.3876075, 8.5443686 47.3875804, 8.5445119 47.3875175, 8.5446264 47.3874821)",tertiary,2,57.278,Riedtlistrasse,False,50
5518,27493698,102389988,"LINESTRING (8.544015399999999 47.3877839, 8.543933900000001 47.3878302, 8.542441999999999 47.3886915, 8.542341199999999 47.38875)",tertiary,2,165.60700000000003,Riedtlistrasse,False,50
5519,27493699,1244572175,"LINESTRING (8.546034300000001 47.3870968, 8.546011 47.3870483, 8.545985999999999 47.3869961, 8.5460095 47.386929, 8.546136000000001 47.3865671, 8.546189699999999 47.3864137)",residential,,78.324,Stolzestrasse,False,30
5520,27493699,1577028880,"LINESTRING (8.546034300000001 47.3870968, 8.547194299999999 47.3867761, 8.547309 47.3867644, 8.547413799999999 47.3867618, 8.5475745 47.3867736)",tertiary,2,123.127,Riedtlistrasse,False,50
5521,27493699,1099983025,"LINESTRING (8.546034300000001 47.3870968, 8.5458906 47.3871362, 8.5457391 47.3871776)",tertiary,2,23.971,Riedtlistrasse,False,50
5522,5098014032,27005633,"LINESTRING (8.4781344 47.3847144, 8.4785395 47.3846789, 8.480624799999999 47.3845281, 8.480823300000001 47.3845126)",tertiary,,203.686,Rautistrasse,False,50
5523,5098014032,27005639,"LINESTRING (8.4781344 47.3847144, 8.477956300000001 47.3847232, 8.477767699999999 47.3847445)",tertiary,,27.839,Rautistrasse,False,50
5524,5098014032,5098014035,"LINESTRING (8.4781344 47.3847144, 8.4780433 47.3848025, 8.478028399999999 47.3848259, 8.478009500000001 47.3848554, 8.478011800000001 47.384925)",residential,,26.108999999999998,Friedhofstrasse,False,50
5525,5098014035,27005682,"LINESTRING (8.478011800000001 47.384925, 8.478049199999999 47.384952)",residential,,4.116,Friedhofstrasse,False,30
5526,5098014035,27005639,"LINESTRING (8.478011800000001 47.384925, 8.4779082 47.3848502, 8.477767699999999 47.3847445)",residential,,27.214,Friedhofstrasse,False,30
