,osmid,geometry
27005635,27005635,POINT (8.4805662 47.3841045)
27005637,27005637,POINT (8.4791949 47.3823889)
27005638,27005638,POINT (8.478556899999999 47.3817554)
27005639,27005639,POINT (8.477767699999999 47.3847445)
94704327,94704327,POINT (8.590925 47.4000136)
94704328,94704328,POINT (8.5914907 47.4010059)
479728343,479728343,POINT (8.516324300000001 47.3582322)
27005656,27005656,POINT (8.479792 47.3801452)
472322776,472322776,POINT (8.536001799999999 47.3776474)
27005670,27005670,POINT (8.477839100000001 47.3818596)
27005673,27005673,POINT (8.4817638 47.3859933)
27005674,27005674,POINT (8.481908000000001 47.3869193)
27005676,27005676,POINT (8.478715299999999 47.3869041)
27005678,27005678,POINT (8.478077300000001 47.3860719)
27005682,27005682,POINT (8.478049199999999 47.384952)
27005684,27005684,POINT (8.4795585 47.3855287)
27005687,27005687,POINT (8.481245299999999 47.3861401)
27005688,27005688,POINT (8.4770681 47.386413)
27005690,27005690,POINT (8.4768715 47.3842056)
5255402232,5255402232,POINT (8.5352757 47.3364494)
60552130,60552130,POINT (8.533396400000001 47.3429466)
300028688,300028688,POINT (8.5414564 47.3785179)
6652957480,6652957480,POINT (8.520792800000001 47.3389236)
6652957483,6652957483,POINT (8.519803100000001 47.3377937)
5242491689,5242491689,POINT (8.5292847 47.3474778)
3251966772,3251966772,POINT (8.5387559 47.3711183)
3728216891,3728216891,POINT (8.5316989 47.3677275)
94901083,94901083,POINT (8.5379071 47.4064415)
94901086,94901086,POINT (8.536624700000001 47.4067218)
27005863,27005863,POINT (8.4751789 47.3854759)
27005867,27005867,POINT (8.476660600000001 47.3874392)
27005868,27005868,POINT (8.4761135 47.3867293)
27005869,27005869,POINT (8.4748716 47.3877855)
27005872,27005872,POINT (8.4774852 47.3881025)
27005873,27005873,POINT (8.4794173 47.3876288)
27005883,27005883,POINT (8.4724602 47.3887262)
27005884,27005884,POINT (8.472729599999999 47.3892772)
255857595,255857595,POINT (8.510672700000001 47.3666248)
27005887,27005887,POINT (8.474694 47.3897759)
27005890,27005890,POINT (8.475971700000001 47.3900825)
131863497,131863497,POINT (8.5567493 47.3767439)
27005902,27005902,POINT (8.4698403 47.3890687)
344658894,344658894,POINT (8.5462834 47.4012235)
27005931,27005931,POINT (8.4783206 47.3896961)
27005934,27005934,POINT (8.477503499999999 47.3898519)
27005940,27005940,POINT (8.4770489 47.3890479)
27005945,27005945,POINT (8.478055100000001 47.3885363)
27005948,27005948,POINT (8.479070399999999 47.3893194)
27005951,27005951,POINT (8.4804169 47.3884814)
27005959,27005959,POINT (8.4793225 47.3905511)
27005963,27005963,POINT (8.4743019 47.3907656)
27005969,27005969,POINT (8.4738112 47.3903923)
94704667,94704667,POINT (8.590435100000001 47.4013488)
311563294,311563294,POINT (8.507150299999999 47.4110254)
94704668,94704668,POINT (8.5921843 47.4007805)
27005989,27005989,POINT (8.472042800000001 47.3909576)
27005999,27005999,POINT (8.472708600000001 47.3917425)
132060214,132060214,POINT (8.556823400000001 47.3816437)
101717053,101717053,POINT (8.549360999999999 47.4297242)
5131801672,5131801672,POINT (8.5666083 47.3517437)
27006056,27006056,POINT (8.479139999999999 47.3909394)
35132528,35132528,POINT (8.530097100000001 47.3644416)
27006076,27006076,POINT (8.4768802 47.39162)
112333965,112333965,POINT (8.5062973 47.3998293)
112333967,112333967,POINT (8.506506999999999 47.4000304)
112333972,112333972,POINT (8.5087598 47.3988451)
112333975,112333975,POINT (8.509794400000001 47.3989176)
5050668194,5050668194,POINT (8.5073986 47.3626598)
5050668195,5050668195,POINT (8.5068701 47.3630169)
319624376,319624376,POINT (8.523414799999999 47.3710106)
654185659,654185659,POINT (8.540118700000001 47.4016641)
94704825,94704825,POINT (8.593138700000001 47.4013325)
94704827,94704827,POINT (8.591845299999999 47.3996033)
93000923,93000923,POINT (8.5500901 47.4011915)
93000928,93000928,POINT (8.5478329 47.4002568)
142611691,142611691,POINT (8.5362098 47.3945751)
319624434,319624434,POINT (8.523687499999999 47.370694)
319624436,319624436,POINT (8.522714300000001 47.3702063)
151327994,151327994,POINT (8.5787426 47.3567919)
151327995,151327995,POINT (8.580071999999999 47.3570155)
157357335,157357335,POINT (8.488091799999999 47.3867287)
84481305,84481305,POINT (8.498742399999999 47.3849097)
157357338,157357338,POINT (8.4902078 47.3862587)
84481306,84481306,POINT (8.4983404 47.3845261)
84481310,84481310,POINT (8.4977181 47.3852316)
84481311,84481311,POINT (8.497358999999999 47.385377)
71374119,71374119,POINT (8.537315 47.3804155)
250549548,250549548,POINT (8.4750508 47.389877)
27006280,27006280,POINT (8.4745726 47.3979388)
207426911,207426911,POINT (8.503725899999999 47.4035631)
27006327,27006327,POINT (8.480567300000001 47.3926898)
27006348,27006348,POINT (8.4812548 47.3912447)
26678669,26678669,POINT (8.5514595 47.3639968)
26678670,26678670,POINT (8.5524752 47.3645115)
27006351,27006351,POINT (8.4815764 47.3918062)
27006352,27006352,POINT (8.4821493 47.3909914)
