,u,v,geometry,highway,lanes,length,name,oneway,maxspeed
231,178102882,178099335,"LINESTRING (-107.8166633006653 37.94093407474299, -107.8160897006665 37.94078287473796, -107.815840700667 37.94071987473568, -107.8146912006695 37.94039377472569)",residential,,183.096,Curtis Drive,False,
232,178107006,178097410,"LINESTRING (-107.8187639006604 37.94128217476327, -107.8183152006611 37.94092017476124, -107.8175044006629 37.94070077475409)",residential,,131.461,Galena Street,False,
233,178104973,178097354,"LINESTRING (-107.8126259006683 37.93533037474372, -107.8124400006693 37.93577187473814)",residential,2,51.729,South Fir Street,False,
234,178104980,178097354,"LINESTRING (-107.8120928006712 37.93659637472771, -107.8124400006693 37.93577187473814)",residential,2,96.605,South Fir Street,False,
235,178104980,178095064,"LINESTRING (-107.8120928006712 37.93659637472771, -107.8125987006701 37.93672567473219, -107.8130897006691 37.93684817473662)",residential,2,91.80099999999999,West Pacific Avenue,False,
236,178104980,178097369,"LINESTRING (-107.8120928006712 37.93659637472771, -107.8115964006723 37.93646597472332, -107.8111022006733 37.9363382747189)",residential,2,91.493,West Pacific Avenue,False,
237,178095771,178095773,"LINESTRING (-107.804838600688 37.9356020746561, -107.8047120006888 37.93593257465205, -107.8046550006891 37.93606807465034)",residential,,54.266,North Pinion Street,False,
238,178095771,178105578,"LINESTRING (-107.804838600688 37.9356020746561, -107.8049530006878 37.93562667465716, -107.8058561006859 37.93585957466519)",secondary,2,93.727,East Colorado Avenue,False,
239,178095771,178099061,"LINESTRING (-107.804838600688 37.9356020746561, -107.804395900689 37.93548397465217, -107.8040380006898 37.93538847464905, -107.8038604006901 37.93534547464743)",secondary,2,90.41499999999999,East Colorado Avenue,False,
240,178095773,178095690,"LINESTRING (-107.8046550006891 37.93606807465034, -107.8045208006899 37.93644587464583)",residential,,43.627,North Pinion Street,False,
241,178095773,178099062,"LINESTRING (-107.8046550006891 37.93606807465034, -107.8036748006912 37.93582467464153)",residential,,90.123,Shadow Lane,False,
